size,fold,run
1057,7,1
339,7,1
317,7,1
361,7,1
401,7,1
317,7,1
311,7,1
317,7,1
441,7,1
327,7,1
319,7,1
331,7,1
317,7,1
363,7,1
337,7,1
317,7,1
331,7,1
311,7,1
367,7,1
317,7,1
317,7,1
419,7,1
311,7,1
317,7,1
339,7,1
319,7,1
317,7,1
361,7,1
323,7,1
317,7,1
365,7,1
349,7,1
343,7,1
357,7,1
323,7,1
361,7,1
325,7,1
333,7,1
339,7,1
311,7,1
345,7,1
361,7,1
351,7,1
339,7,1
317,7,1
575,7,1
337,7,1
339,7,1
361,7,1
317,7,1
317,7,1
383,7,1
339,7,1
319,7,1
317,7,1
249,7,1
349,7,1
321,7,1
369,7,1
317,7,1
361,7,1
379,7,1
409,7,1
317,7,1
317,7,1
369,7,1
397,7,1
317,7,1
291,7,1
317,7,1
317,7,1
355,7,1
351,7,1
351,7,1
339,7,1
309,7,1
373,7,1
317,7,1
315,7,1
317,7,1
339,7,1
351,7,1
401,7,1
331,7,1
351,7,1
339,7,1
317,7,1
317,7,1
339,7,1
319,7,1
329,7,1
341,7,1
317,7,1
321,7,1
353,7,1
355,7,1
347,7,1
317,7,1
317,7,1
339,7,1
389,7,1
319,7,1
317,7,1
235,7,1
221,7,1
401,7,1
337,7,1
317,7,1
401,7,1
375,7,1
333,7,1
317,7,1
315,7,1
325,7,1
345,7,1
395,7,1
361,7,1
315,7,1
253,7,1
317,7,1
317,7,1
339,7,1
319,7,1
339,7,1
363,7,1
341,7,1
315,7,1
329,7,1
331,7,1
339,7,1
313,7,1
317,7,1
335,7,1
317,7,1
317,7,1
339,7,1
385,7,1
317,7,1
339,7,1
391,7,1
315,7,1
335,7,1
353,7,1
341,7,1
317,7,1
339,7,1
333,7,1
339,7,1
361,7,1
309,7,1
367,7,1
307,7,1
317,7,1
309,7,1
279,7,1
307,7,1
455,7,1
317,7,1
351,7,1
319,7,1
389,7,1
321,7,1
335,7,1
335,7,1
337,7,1
317,7,1
313,7,1
317,7,1
351,7,1
351,7,1
345,7,1
319,7,1
317,7,1
355,7,1
317,7,1
317,7,1
317,7,1
315,7,1
319,7,1
317,7,1
345,7,1
317,7,1
319,7,1
451,7,1
363,7,1
317,7,1
337,7,1
267,7,1
317,7,1
457,7,1
347,7,1
321,7,1
315,7,1
349,7,1
317,7,1
269,7,1
341,7,1
317,7,1
353,7,1
303,7,1
335,7,1
339,7,1
347,7,1
317,7,1
323,7,1
349,7,1
369,7,1
349,7,1
317,7,1
325,7,1
341,7,1
343,7,1
315,7,1
317,7,1
343,7,1
347,7,1
317,7,1
353,7,1
351,7,1
337,7,1
315,7,1
317,7,1
313,7,1
313,7,1
317,7,1
347,7,1
317,7,1
319,7,1
385,7,1
327,7,1
317,7,1
367,7,1
319,7,1
315,7,1
317,7,1
317,7,1
311,7,1
355,7,1
339,7,1
317,7,1
317,7,1
345,7,1
317,7,1
221,7,1
307,7,1
311,7,1
317,7,1
317,7,1
317,7,1
317,7,1
791,4,1
801,4,1
813,4,1
803,4,1
799,4,1
801,4,1
821,4,1
837,4,1
799,4,1
807,4,1
775,4,1
825,4,1
827,4,1
825,4,1
801,4,1
815,4,1
787,4,1
799,4,1
801,4,1
799,4,1
521,4,1
799,4,1
797,4,1
797,4,1
805,4,1
801,4,1
799,4,1
803,4,1
813,4,1
809,4,1
801,4,1
801,4,1
801,4,1
801,4,1
801,4,1
801,4,1
799,4,1
801,4,1
793,4,1
831,4,1
813,4,1
795,4,1
783,4,1
785,4,1
813,4,1
799,4,1
817,4,1
801,4,1
813,4,1
761,4,1
801,4,1
801,4,1
805,4,1
813,4,1
801,4,1
825,4,1
801,4,1
801,4,1
801,4,1
799,4,1
801,4,1
935,4,1
817,4,1
801,4,1
801,4,1
783,4,1
801,4,1
793,4,1
735,4,1
827,4,1
251,4,1
809,4,1
751,4,1
787,4,1
801,4,1
801,4,1
833,4,1
801,4,1
839,4,1
797,4,1
821,4,1
821,4,1
797,4,1
799,4,1
799,4,1
813,4,1
801,4,1
813,4,1
803,4,1
821,4,1
801,4,1
789,4,1
801,4,1
791,4,1
813,4,1
795,4,1
839,4,1
825,4,1
799,4,1
801,4,1
851,4,1
887,4,1
851,4,1
813,4,1
801,4,1
787,4,1
949,4,1
851,4,1
845,4,1
803,4,1
799,4,1
801,4,1
795,4,1
799,4,1
827,4,1
801,4,1
821,4,1
813,4,1
801,4,1
829,4,1
813,4,1
801,4,1
805,4,1
777,4,1
827,4,1
801,4,1
801,4,1
801,4,1
815,4,1
831,4,1
817,4,1
815,4,1
765,4,1
793,4,1
813,4,1
797,4,1
835,4,1
797,4,1
801,4,1
801,4,1
803,4,1
847,4,1
835,4,1
879,4,1
801,4,1
801,4,1
811,4,1
801,4,1
845,4,1
841,4,1
855,4,1
803,4,1
797,4,1
803,4,1
803,4,1
763,4,1
801,4,1
801,4,1
801,4,1
801,4,1
813,4,1
801,4,1
801,4,1
803,4,1
861,4,1
803,4,1
797,4,1
833,4,1
811,4,1
799,4,1
801,4,1
829,4,1
801,4,1
801,4,1
801,4,1
799,4,1
815,4,1
801,4,1
801,4,1
827,4,1
803,4,1
801,4,1
801,4,1
751,4,1
801,4,1
801,4,1
799,4,1
811,4,1
815,4,1
805,4,1
845,4,1
801,4,1
801,4,1
801,4,1
803,4,1
787,4,1
801,4,1
801,4,1
801,4,1
821,4,1
873,4,1
813,4,1
801,4,1
833,4,1
801,4,1
799,4,1
815,4,1
819,4,1
801,4,1
801,4,1
827,4,1
757,4,1
833,4,1
791,4,1
821,4,1
805,4,1
801,4,1
815,4,1
803,4,1
803,4,1
801,4,1
801,4,1
801,4,1
801,4,1
801,4,1
809,4,1
801,4,1
801,4,1
803,4,1
799,4,1
831,4,1
799,4,1
801,4,1
801,4,1
761,4,1
839,4,1
777,4,1
699,4,1
801,4,1
701,4,1
801,4,1
829,4,1
819,4,1
851,4,1
801,4,1
801,4,1
781,4,1
875,4,1
801,4,1
801,4,1
71,9,1
679,9,1
727,9,1
679,9,1
679,9,1
679,9,1
679,9,1
683,9,1
669,9,1
679,9,1
693,9,1
679,9,1
679,9,1
673,9,1
713,9,1
697,9,1
715,9,1
679,9,1
673,9,1
683,9,1
679,9,1
677,9,1
677,9,1
679,9,1
679,9,1
727,9,1
681,9,1
681,9,1
695,9,1
681,9,1
707,9,1
677,9,1
675,9,1
679,9,1
681,9,1
677,9,1
675,9,1
801,9,1
705,9,1
673,9,1
681,9,1
719,9,1
685,9,1
693,9,1
739,9,1
707,9,1
727,9,1
673,9,1
687,9,1
695,9,1
707,9,1
679,9,1
653,9,1
679,9,1
605,9,1
709,9,1
749,9,1
727,9,1
709,9,1
667,9,1
631,9,1
671,9,1
679,9,1
673,9,1
727,9,1
711,9,1
681,9,1
679,9,1
697,9,1
727,9,1
727,9,1
679,9,1
715,9,1
687,9,1
681,9,1
709,9,1
687,9,1
737,9,1
667,9,1
701,9,1
673,9,1
681,9,1
699,9,1
661,9,1
451,9,1
679,9,1
679,9,1
705,9,1
743,9,1
679,9,1
747,9,1
679,9,1
693,9,1
749,9,1
673,9,1
775,9,1
681,9,1
709,9,1
721,9,1
675,9,1
767,9,1
689,9,1
739,9,1
679,9,1
681,9,1
677,9,1
697,9,1
809,9,1
677,9,1
677,9,1
685,9,1
715,9,1
697,9,1
739,9,1
679,9,1
695,9,1
727,9,1
727,9,1
679,9,1
697,9,1
711,9,1
669,9,1
699,9,1
717,9,1
677,9,1
579,9,1
681,9,1
679,9,1
667,9,1
719,9,1
679,9,1
699,9,1
673,9,1
685,9,1
679,9,1
677,9,1
679,9,1
679,9,1
675,9,1
697,9,1
685,9,1
727,9,1
697,9,1
679,9,1
699,9,1
679,9,1
727,9,1
679,9,1
679,9,1
713,9,1
679,9,1
679,9,1
677,9,1
677,9,1
767,9,1
753,9,1
679,9,1
693,9,1
791,9,1
687,9,1
725,9,1
679,9,1
653,9,1
711,9,1
697,9,1
679,9,1
777,9,1
679,9,1
679,9,1
691,9,1
701,9,1
689,9,1
679,9,1
733,9,1
679,9,1
679,9,1
679,9,1
679,9,1
679,9,1
681,9,1
725,9,1
697,9,1
395,9,1
671,9,1
681,9,1
679,9,1
697,9,1
727,9,1
705,9,1
677,9,1
675,9,1
679,9,1
679,9,1
679,9,1
679,9,1
679,9,1
715,9,1
691,9,1
671,9,1
679,9,1
679,9,1
677,9,1
681,9,1
727,9,1
677,9,1
679,9,1
679,9,1
679,9,1
699,9,1
679,9,1
725,9,1
667,9,1
693,9,1
677,9,1
689,9,1
679,9,1
677,9,1
679,9,1
679,9,1
679,9,1
679,9,1
687,9,1
677,9,1
397,9,1
671,9,1
715,9,1
679,9,1
713,9,1
703,9,1
717,9,1
679,9,1
679,9,1
715,9,1
685,9,1
675,9,1
655,9,1
679,9,1
673,9,1
679,9,1
679,9,1
679,9,1
717,9,1
525,9,1
679,9,1
679,9,1
667,9,1
681,9,1
689,9,1
677,9,1
679,9,1
2123,1,1
1841,1,1
1801,1,1
1865,1,1
1873,1,1
1827,1,1
1875,1,1
1827,1,1
1845,1,1
1839,1,1
1883,1,1
1825,1,1
1835,1,1
1867,1,1
1869,1,1
1827,1,1
1819,1,1
1831,1,1
1827,1,1
1849,1,1
1709,1,1
1837,1,1
1861,1,1
1831,1,1
1829,1,1
1723,1,1
1827,1,1
1857,1,1
1827,1,1
1827,1,1
1865,1,1
1677,1,1
1879,1,1
1827,1,1
1883,1,1
1845,1,1
1895,1,1
1863,1,1
1813,1,1
1841,1,1
1801,1,1
1859,1,1
1833,1,1
1739,1,1
1873,1,1
1791,1,1
1891,1,1
1895,1,1
1853,1,1
1865,1,1
1915,1,1
1847,1,1
1827,1,1
1865,1,1
1875,1,1
1767,1,1
1819,1,1
1833,1,1
1875,1,1
1877,1,1
1857,1,1
1819,1,1
1829,1,1
1877,1,1
1827,1,1
1841,1,1
1827,1,1
1879,1,1
1811,1,1
1873,1,1
1867,1,1
1851,1,1
1827,1,1
1841,1,1
1855,1,1
1777,1,1
1893,1,1
1827,1,1
1867,1,1
1847,1,1
1881,1,1
1863,1,1
1827,1,1
1899,1,1
1827,1,1
1943,1,1
1827,1,1
1825,1,1
1667,1,1
1841,1,1
1841,1,1
1845,1,1
1801,1,1
1795,1,1
1885,1,1
1835,1,1
1779,1,1
1801,1,1
1871,1,1
1829,1,1
1827,1,1
1827,1,1
1863,1,1
1841,1,1
1857,1,1
1865,1,1
1841,1,1
1723,1,1
1825,1,1
1867,1,1
1839,1,1
1865,1,1
1839,1,1
1751,1,1
1865,1,1
1865,1,1
1829,1,1
1827,1,1
1827,1,1
1827,1,1
1869,1,1
1827,1,1
1823,1,1
1841,1,1
1847,1,1
1841,1,1
1853,1,1
1801,1,1
1799,1,1
1847,1,1
1867,1,1
1841,1,1
1841,1,1
1859,1,1
1843,1,1
1919,1,1
1657,1,1
1883,1,1
1839,1,1
1827,1,1
1841,1,1
1873,1,1
1829,1,1
1857,1,1
1819,1,1
1827,1,1
1827,1,1
1841,1,1
1819,1,1
1833,1,1
1899,1,1
1831,1,1
1829,1,1
1827,1,1
1851,1,1
1857,1,1
1827,1,1
1827,1,1
1823,1,1
1827,1,1
1877,1,1
1827,1,1
1841,1,1
1863,1,1
1829,1,1
1841,1,1
1851,1,1
1869,1,1
1867,1,1
1861,1,1
1825,1,1
1827,1,1
1823,1,1
1853,1,1
1801,1,1
1823,1,1
1827,1,1
1841,1,1
1847,1,1
1827,1,1
1855,1,1
1827,1,1
1829,1,1
1921,1,1
1827,1,1
1841,1,1
1827,1,1
1863,1,1
1845,1,1
1801,1,1
1819,1,1
1829,1,1
1801,1,1
1829,1,1
1841,1,1
1841,1,1
1827,1,1
1879,1,1
1825,1,1
1873,1,1
1849,1,1
1827,1,1
1833,1,1
1827,1,1
1867,1,1
1855,1,1
2025,1,1
1819,1,1
1865,1,1
1841,1,1
1801,1,1
1857,1,1
1827,1,1
1841,1,1
1683,1,1
1893,1,1
1833,1,1
1755,1,1
1827,1,1
1903,1,1
1827,1,1
1827,1,1
1981,1,1
1867,1,1
1857,1,1
1857,1,1
1827,1,1
1827,1,1
1791,1,1
1849,1,1
1827,1,1
1821,1,1
1827,1,1
1855,1,1
1827,1,1
1871,1,1
1829,1,1
1845,1,1
1693,1,1
1825,1,1
1781,1,1
1851,1,1
1827,1,1
1859,1,1
1843,1,1
1857,1,1
1827,1,1
1867,1,1
1863,1,1
1867,1,1
553,9,2
539,9,2
539,9,2
577,9,2
539,9,2
535,9,2
551,9,2
565,9,2
539,9,2
525,9,2
603,9,2
479,9,2
537,9,2
547,9,2
539,9,2
553,9,2
583,9,2
539,9,2
539,9,2
573,9,2
539,9,2
577,9,2
539,9,2
571,9,2
569,9,2
609,9,2
535,9,2
539,9,2
595,9,2
551,9,2
617,9,2
519,9,2
539,9,2
539,9,2
535,9,2
547,9,2
551,9,2
595,9,2
563,9,2
565,9,2
539,9,2
557,9,2
561,9,2
557,9,2
539,9,2
539,9,2
575,9,2
541,9,2
563,9,2
605,9,2
535,9,2
537,9,2
537,9,2
539,9,2
539,9,2
563,9,2
563,9,2
537,9,2
519,9,2
537,9,2
557,9,2
529,9,2
615,9,2
559,9,2
513,9,2
531,9,2
573,9,2
539,9,2
577,9,2
539,9,2
539,9,2
539,9,2
573,9,2
521,9,2
557,9,2
539,9,2
541,9,2
551,9,2
539,9,2
539,9,2
625,9,2
495,9,2
537,9,2
569,9,2
551,9,2
559,9,2
547,9,2
539,9,2
539,9,2
539,9,2
539,9,2
565,9,2
541,9,2
543,9,2
609,9,2
537,9,2
597,9,2
539,9,2
515,9,2
533,9,2
539,9,2
569,9,2
535,9,2
541,9,2
571,9,2
601,9,2
539,9,2
577,9,2
539,9,2
539,9,2
575,9,2
539,9,2
539,9,2
603,9,2
565,9,2
539,9,2
539,9,2
539,9,2
539,9,2
563,9,2
577,9,2
561,9,2
633,9,2
565,9,2
539,9,2
539,9,2
569,9,2
539,9,2
541,9,2
539,9,2
539,9,2
579,9,2
539,9,2
549,9,2
555,9,2
539,9,2
539,9,2
577,9,2
539,9,2
539,9,2
539,9,2
539,9,2
539,9,2
569,9,2
539,9,2
559,9,2
539,9,2
547,9,2
539,9,2
557,9,2
539,9,2
539,9,2
539,9,2
539,9,2
575,9,2
539,9,2
539,9,2
539,9,2
539,9,2
539,9,2
543,9,2
569,9,2
539,9,2
539,9,2
539,9,2
563,9,2
533,9,2
543,9,2
567,9,2
539,9,2
537,9,2
539,9,2
557,9,2
539,9,2
539,9,2
561,9,2
573,9,2
577,9,2
541,9,2
539,9,2
595,9,2
565,9,2
539,9,2
577,9,2
539,9,2
539,9,2
569,9,2
539,9,2
539,9,2
539,9,2
551,9,2
565,9,2
539,9,2
539,9,2
539,9,2
537,9,2
565,9,2
573,9,2
541,9,2
565,9,2
543,9,2
543,9,2
539,9,2
539,9,2
539,9,2
537,9,2
539,9,2
539,9,2
537,9,2
567,9,2
541,9,2
553,9,2
539,9,2
533,9,2
579,9,2
551,9,2
573,9,2
541,9,2
535,9,2
539,9,2
577,9,2
535,9,2
539,9,2
539,9,2
539,9,2
539,9,2
541,9,2
537,9,2
531,9,2
523,9,2
539,9,2
539,9,2
539,9,2
541,9,2
539,9,2
539,9,2
543,9,2
539,9,2
539,9,2
555,9,2
569,9,2
575,9,2
527,9,2
539,9,2
541,9,2
555,9,2
539,9,2
539,9,2
539,9,2
573,9,2
767,7,2
1583,7,2
1583,7,2
1581,7,2
1583,7,2
1593,7,2
1583,7,2
1581,7,2
1589,7,2
1583,7,2
1583,7,2
1507,7,2
1559,7,2
1583,7,2
1583,7,2
1619,7,2
1577,7,2
1581,7,2
1599,7,2
1583,7,2
1609,7,2
1583,7,2
1529,7,2
1591,7,2
1581,7,2
1583,7,2
1593,7,2
1547,7,2
1581,7,2
1583,7,2
1503,7,2
1541,7,2
1583,7,2
1585,7,2
1563,7,2
1583,7,2
1583,7,2
1589,7,2
1617,7,2
1583,7,2
1629,7,2
1561,7,2
1583,7,2
1583,7,2
1525,7,2
1599,7,2
1593,7,2
1583,7,2
1611,7,2
1609,7,2
1583,7,2
1585,7,2
1581,7,2
1595,7,2
1577,7,2
1583,7,2
1599,7,2
1557,7,2
1583,7,2
1583,7,2
1583,7,2
1627,7,2
1599,7,2
1573,7,2
1601,7,2
1583,7,2
1493,7,2
1585,7,2
1591,7,2
1583,7,2
1583,7,2
1583,7,2
1583,7,2
1581,7,2
1489,7,2
1583,7,2
1629,7,2
1575,7,2
1629,7,2
1583,7,2
1517,7,2
1317,7,2
1599,7,2
1583,7,2
1589,7,2
1583,7,2
1619,7,2
1583,7,2
1583,7,2
1515,7,2
1605,7,2
1609,7,2
1617,7,2
1571,7,2
1583,7,2
1545,7,2
1585,7,2
1583,7,2
1585,7,2
1615,7,2
1589,7,2
1573,7,2
1603,7,2
1583,7,2
1585,7,2
1583,7,2
1619,7,2
1621,7,2
1581,7,2
1615,7,2
1581,7,2
1479,7,2
1603,7,2
1561,7,2
1583,7,2
1533,7,2
1619,7,2
1583,7,2
1593,7,2
1583,7,2
1549,7,2
1571,7,2
1583,7,2
1597,7,2
1583,7,2
1579,7,2
1573,7,2
1583,7,2
1473,7,2
1581,7,2
1583,7,2
1599,7,2
1599,7,2
1583,7,2
1571,7,2
1583,7,2
1617,7,2
1599,7,2
1611,7,2
1593,7,2
1583,7,2
1621,7,2
1583,7,2
1583,7,2
1587,7,2
1597,7,2
1583,7,2
1627,7,2
1575,7,2
1529,7,2
1597,7,2
1583,7,2
1583,7,2
1581,7,2
1619,7,2
1659,7,2
1571,7,2
1583,7,2
1587,7,2
1585,7,2
1583,7,2
1583,7,2
1583,7,2
1593,7,2
1583,7,2
1581,7,2
1577,7,2
1617,7,2
1559,7,2
1583,7,2
1583,7,2
1601,7,2
1579,7,2
1583,7,2
1581,7,2
1529,7,2
1583,7,2
1583,7,2
1611,7,2
1583,7,2
1595,7,2
1583,7,2
1607,7,2
1609,7,2
1585,7,2
1607,7,2
1587,7,2
1601,7,2
1607,7,2
1583,7,2
1583,7,2
1583,7,2
1583,7,2
1583,7,2
1631,7,2
1583,7,2
1583,7,2
1625,7,2
1537,7,2
1583,7,2
1583,7,2
1599,7,2
1607,7,2
1611,7,2
1583,7,2
1583,7,2
1583,7,2
1609,7,2
1583,7,2
1583,7,2
1583,7,2
1553,7,2
1607,7,2
1609,7,2
1583,7,2
1585,7,2
1565,7,2
1583,7,2
1583,7,2
1581,7,2
1587,7,2
1599,7,2
1585,7,2
1633,7,2
1583,7,2
1583,7,2
1609,7,2
1583,7,2
1579,7,2
1583,7,2
1583,7,2
1585,7,2
1583,7,2
1583,7,2
1583,7,2
1539,7,2
1571,7,2
1583,7,2
1583,7,2
1583,7,2
1583,7,2
1565,7,2
1583,7,2
1583,7,2
1583,7,2
1533,7,2
1629,7,2
1583,7,2
1609,7,2
1615,7,2
57,4,2
1081,4,2
1105,4,2
1115,4,2
1003,4,2
1105,4,2
1099,4,2
1063,4,2
1085,4,2
1089,4,2
1095,4,2
1115,4,2
1131,4,2
1115,4,2
1003,4,2
1013,4,2
1061,4,2
1059,4,2
965,4,2
1121,4,2
1061,4,2
1077,4,2
1033,4,2
1091,4,2
1115,4,2
1083,4,2
1003,4,2
1099,4,2
1061,4,2
1003,4,2
1059,4,2
1081,4,2
1125,4,2
1061,4,2
1111,4,2
1081,4,2
1061,4,2
1001,4,2
1041,4,2
1099,4,2
1061,4,2
1015,4,2
1081,4,2
1133,4,2
1105,4,2
1003,4,2
1055,4,2
1105,4,2
1103,4,2
1081,4,2
1101,4,2
1061,4,2
1059,4,2
1105,4,2
1081,4,2
1103,4,2
1003,4,2
1061,4,2
1105,4,2
1073,4,2
1061,4,2
1101,4,2
1061,4,2
1139,4,2
1089,4,2
1115,4,2
1061,4,2
1061,4,2
1105,4,2
1061,4,2
1125,4,2
1115,4,2
1061,4,2
1123,4,2
1061,4,2
1035,4,2
1105,4,2
1003,4,2
1061,4,2
1115,4,2
1075,4,2
1081,4,2
1077,4,2
1031,4,2
1061,4,2
1079,4,2
1067,4,2
1099,4,2
1003,4,2
1099,4,2
1097,4,2
1081,4,2
1083,4,2
1061,4,2
1105,4,2
1025,4,2
1061,4,2
1105,4,2
1079,4,2
1061,4,2
1061,4,2
1051,4,2
1061,4,2
1107,4,2
1081,4,2
1051,4,2
1105,4,2
1077,4,2
1061,4,2
1061,4,2
1111,4,2
1081,4,2
1063,4,2
1121,4,2
1105,4,2
1061,4,2
1101,4,2
1059,4,2
1107,4,2
1081,4,2
1087,4,2
1105,4,2
1153,4,2
1115,4,2
1135,4,2
1103,4,2
1129,4,2
1061,4,2
1095,4,2
1043,4,2
1087,4,2
1081,4,2
1061,4,2
1061,4,2
1119,4,2
1061,4,2
1061,4,2
1061,4,2
1061,4,2
1065,4,2
1093,4,2
1105,4,2
1061,4,2
1089,4,2
1057,4,2
1157,4,2
1061,4,2
1121,4,2
1099,4,2
1099,4,2
1105,4,2
1003,4,2
1013,4,2
1067,4,2
1059,4,2
1061,4,2
1107,4,2
1059,4,2
1081,4,2
1003,4,2
1095,4,2
1081,4,2
1133,4,2
1061,4,2
1105,4,2
1065,4,2
1115,4,2
1279,4,2
1097,4,2
1095,4,2
1077,4,2
1101,4,2
1061,4,2
1061,4,2
1135,4,2
1055,4,2
1087,4,2
1061,4,2
1061,4,2
1089,4,2
1061,4,2
1065,4,2
1061,4,2
1061,4,2
1085,4,2
1087,4,2
1055,4,2
1061,4,2
1045,4,2
1059,4,2
1081,4,2
1057,4,2
1087,4,2
1075,4,2
1061,4,2
1081,4,2
1091,4,2
1061,4,2
923,4,2
1061,4,2
1093,4,2
1097,4,2
1061,4,2
1061,4,2
1061,4,2
1061,4,2
1089,4,2
941,4,2
1067,4,2
1069,4,2
1061,4,2
1061,4,2
