size,fold,run
191,4,1
321,4,1
339,4,1
341,4,1
355,4,1
379,4,1
347,4,1
339,4,1
371,4,1
341,4,1
341,4,1
409,4,1
347,4,1
339,4,1
349,4,1
341,4,1
339,4,1
393,4,1
335,4,1
365,4,1
365,4,1
405,4,1
341,4,1
347,4,1
277,4,1
319,4,1
375,4,1
341,4,1
341,4,1
341,4,1
355,4,1
367,4,1
339,4,1
359,4,1
339,4,1
321,4,1
347,4,1
291,4,1
339,4,1
363,4,1
339,4,1
339,4,1
321,4,1
379,4,1
341,4,1
291,4,1
359,4,1
339,4,1
315,4,1
395,4,1
321,4,1
355,4,1
339,4,1
341,4,1
377,4,1
339,4,1
341,4,1
353,4,1
349,4,1
315,4,1
339,4,1
347,4,1
309,4,1
339,4,1
321,4,1
379,4,1
339,4,1
277,4,1
357,4,1
339,4,1
339,4,1
395,4,1
339,4,1
339,4,1
339,4,1
395,4,1
339,4,1
395,4,1
365,4,1
343,4,1
341,4,1
321,4,1
339,4,1
355,4,1
337,4,1
339,4,1
341,4,1
321,4,1
339,4,1
349,4,1
321,4,1
347,4,1
293,4,1
321,4,1
345,4,1
345,4,1
339,4,1
321,4,1
339,4,1
333,4,1
371,4,1
337,4,1
341,4,1
341,4,1
381,4,1
331,4,1
321,4,1
339,4,1
363,4,1
341,4,1
393,4,1
379,4,1
339,4,1
335,4,1
295,4,1
359,4,1
339,4,1
307,4,1
343,4,1
339,4,1
339,4,1
303,4,1
339,4,1
339,4,1
339,4,1
363,4,1
359,4,1
297,4,1
379,4,1
339,4,1
379,4,1
321,4,1
353,4,1
339,4,1
339,4,1
339,4,1
321,4,1
349,4,1
349,4,1
321,4,1
341,4,1
339,4,1
351,4,1
341,4,1
339,4,1
339,4,1
339,4,1
339,4,1
337,4,1
349,4,1
373,4,1
337,4,1
321,4,1
339,4,1
331,4,1
339,4,1
361,4,1
345,4,1
339,4,1
319,4,1
339,4,1
335,4,1
339,4,1
339,4,1
337,4,1
323,4,1
369,4,1
339,4,1
345,4,1
355,4,1
359,4,1
339,4,1
339,4,1
321,4,1
323,4,1
321,4,1
339,4,1
343,4,1
339,4,1
407,4,1
333,4,1
339,4,1
345,4,1
365,4,1
385,4,1
337,4,1
321,4,1
339,4,1
339,4,1
339,4,1
339,4,1
287,4,1
313,4,1
321,4,1
333,4,1
369,4,1
339,4,1
339,4,1
339,4,1
339,4,1
321,4,1
333,4,1
335,4,1
341,4,1
339,4,1
337,4,1
319,4,1
339,4,1
339,4,1
321,4,1
339,4,1
361,4,1
359,4,1
319,4,1
329,4,1
339,4,1
339,4,1
309,4,1
339,4,1
387,4,1
341,4,1
437,4,1
379,4,1
363,4,1
339,4,1
337,4,1
375,4,1
321,4,1
339,4,1
339,4,1
373,4,1
339,4,1
319,4,1
339,4,1
329,4,1
373,4,1
365,4,1
369,4,1
337,4,1
339,4,1
347,4,1
333,4,1
321,4,1
339,4,1
345,4,1
339,4,1
303,4,1
339,4,1
329,4,1
387,4,1
389,7,1
505,7,1
555,7,1
519,7,1
541,7,1
519,7,1
519,7,1
557,7,1
519,7,1
547,7,1
519,7,1
519,7,1
533,7,1
517,7,1
557,7,1
555,7,1
519,7,1
519,7,1
513,7,1
533,7,1
537,7,1
553,7,1
519,7,1
519,7,1
421,7,1
513,7,1
519,7,1
517,7,1
519,7,1
541,7,1
519,7,1
531,7,1
513,7,1
533,7,1
555,7,1
519,7,1
519,7,1
571,7,1
525,7,1
505,7,1
519,7,1
539,7,1
515,7,1
505,7,1
547,7,1
515,7,1
541,7,1
555,7,1
559,7,1
525,7,1
543,7,1
543,7,1
531,7,1
521,7,1
541,7,1
521,7,1
579,7,1
519,7,1
571,7,1
337,7,1
519,7,1
505,7,1
519,7,1
701,7,1
519,7,1
587,7,1
519,7,1
519,7,1
589,7,1
541,7,1
555,7,1
